baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	pval	chr	start	end	strand	size
42.942748595265	-0.0714626568584259	0.562153316168604	-0.127123072661894	0.898842990265772	1	Xkr4	0.898842990265772	chr1	3205901	3671498	-	465597
1.54915862063711	-1.34828642086451	2.43470068142555	-0.553779128231513	0.579730014085348	1	RP23-317L18.4	0.579730014085348	chr1	3365731	3368549	-	2818
5.76446158102178	-0.471968106411143	1.36970830764469	-0.344575632473693	0.73041342755246	1	RP23-317L18.3	0.73041342755246	chr1	3375556	3377788	-	2232
1.95581022615983	-1.41577854595569	2.50885530518365	-0.564312554426909	0.572541438865681	1	RP23-115I1.6	0.572541438865681	chr1	3464977	3467285	-	2308
1.6368707101391	1.69257473407744	2.50105614135265	0.676743998702098	0.498568395114663	1	RP23-115I1.2	0.498568395114663	chr1	3531795	3532720	+	925
2.38709138092775	-0.798411072607365	2.0158655991888	-0.396063642798733	0.692058078643979	1	RP23-122M2.3	0.692058078643979	chr1	3647309	3658904	-	11595
3.11153487978319	4.25152876663118	2.13893783584678	1.98768224834737	0.0468468434172321	1	Sox17	0.0468468434172321	chr1	4490931	4497354	-	6423
6.2672850558456	1.02158109222666	1.22822063523296	0.831756984796868	0.405546128322041	1	RP23-285G23.3	0.405546128322041	chr1	4522905	4526737	+	3832
9.25969642750578	-0.165913842102462	1.04527049473657	-0.158728140646767	0.873883066214187	1	Gm6085	0.873883066214187	chr1	4687934	4689403	-	1469
1.18284081494729	4.09579502602382	3.31757445778488	1.23457516271046	0.216988657423389	1	RP23-34E15.2	0.216988657423389	chr1	4692219	4693424	-	1205
34.4914252717188	0.0362637720303427	0.574252127608899	0.0631495649503985	0.949647405906044	1	RP23-34E15.4	0.949647405906044	chr1	4771131	4772199	+	1068
1050.68798723345	0.0326654576005285	0.141376411132048	0.231053096757552	0.817273552575517	1	Mrpl15	0.817273552575517	chr1	4773206	4785739	-	12533
970.239384552019	-0.319757142129729	0.154291313414847	-2.07242478563903	0.0382258438834587	1	Lypla1	0.0382258438834587	chr1	4807788	4848410	+	40622
1239.10788705135	-0.128681328369435	0.144055317019804	-0.893277187066582	0.37170875164381	1	Tcea1	0.37170875164381	chr1	4857814	4897909	+	40095
24.3824220792318	0.00323194679795913	0.687348993932238	0.00470204630615601	0.996248323672595	1	Gm6104	0.996248323672595	chr1	4880049	4880651	-	602
1.8519418064166	0.857987008723939	2.6146071279248	0.328151407360737	0.742797186557487	1	RP24-426M1.4	0.742797186557487	chr1	4905751	4906861	-	1110
16.2504830295517	-0.50399858874119	0.837188064818069	-0.602013585622144	0.547165094182042	1	Rgs20	0.547165094182042	chr1	4909576	5070285	-	160709
1123.83133880735	-0.00966411852714817	0.140304549608089	-0.0688795805563173	0.945085472265455	1	Atp6v1h	0.945085472265455	chr1	5070018	5162529	+	92511
191.983568119081	0.235116502798958	0.39561929651583	0.594299885949952	0.552311554909862	1	Oprk1	0.552311554909862	chr1	5588466	5606131	+	17665
6.66734745555779	-0.177082123858042	1.20823491913608	-0.146562660169316	0.883477228204345	1	Npbwr1	0.883477228204345	chr1	5913707	5917398	-	3691
1396.9432596104	-0.0353557072777467	0.135638962744516	-0.260660407322204	0.794354401123755	1	Rb1cc1	0.794354401123755	chr1	6206197	6276648	+	70451
40.411942469512	0.642712771993462	0.520403727532137	1.23502722596039	0.216820371617316	1	4732440D04Rik	0.216820371617316	chr1	6209866	6215293	-	5427
4.3749685003846	-5.3432124954178	2.02905673099894	-2.63334800539916	0.00845476685724425	1	Fam150a	0.00845476685724425	chr1	6359218	6394731	+	35513
3.18852342874393	0.120825894791819	1.85246728244257	0.0652243070293277	0.947995408121525	1	RP23-76C20.3	0.947995408121525	chr1	6380394	6381032	+	638
49.2810868969883	0.209237249220078	0.479445325050629	0.436415245467213	0.662535479738062	1	RP23-76C20.4	0.662535479738062	chr1	6429655	6441296	-	11641
13.7113504250476	-0.335320465235357	0.852336014052276	-0.393413465707188	0.694014125647919	1	St18	0.694014125647919	chr1	6487231	6860940	+	373709
719.004226908071	-0.330960042492884	0.170220137506172	-1.94430604593351	0.0518585560135706	1	Pcmtd1	0.0518585560135706	chr1	7088920	7173628	+	84708
6.3639745898538	0.592554139871567	1.36599857933658	0.433788254859936	0.66444221135885	1	WI1-817D1.2	0.66444221135885	chr1	7148110	7152137	+	4027
4.60381025003835	1.20160249291232	1.43167616982766	0.83929768353759	0.401302282812811	1	Gm9826	0.401302282812811	chr1	7177739	7179037	+	1298
10.5547026186012	-0.725647024270669	0.966447433649024	-0.750839620454924	0.452749181702096	1	Gm26901	0.452749181702096	chr1	7349406	7397869	-	48463
15.0515526576068	-0.159095674257442	0.763380822273457	-0.208409315004315	0.834909383691548	1	Sntg1	0.834909383691548	chr1	8361475	9299878	-	938403
4.25767556216	-2.89992860131176	1.99754581845197	-1.45174572444055	0.146572320388464	1	Gm15452	0.146572320388464	chr1	8791923	8792162	-	239
3.41291332055102	-0.292176853715817	1.76681616578609	-0.165369130854551	0.868653449141844	1	RP23-397E23.1	0.868653449141844	chr1	8815842	8816039	+	197
1.16105586632707	-0.226412619083965	2.92058492753112	-0.07752303894664	0.938207463993634	1	Gm24276	0.938207463993634	chr1	8816138	8816247	+	109
817.625638998893	-0.294385251730233	0.158040717985645	-1.86271775705911	0.0625019862456394	1	Rrs1	0.0625019862456394	chr1	9545408	9547455	+	2047
18.1394679963965	0.0172039891719008	0.753047947442408	0.022845808464562	0.981773267676853	1	Adhfe1	0.981773267676853	chr1	9547948	9580673	+	32725
2.41971438168873	-0.261616318369111	1.85728517105298	-0.140859531129939	0.887980912792441	1	2610203C22Rik	0.887980912792441	chr1	9560832	9631175	-	70343
1.22642817430847	-1.38074389783613	2.66336985142771	-0.518419887157607	0.604165342201596	1	Gm6161	0.604165342201596	chr1	9574548	9575649	+	1101
5.13440306084223	-0.348346410542044	1.3205272447092	-0.263793429433374	0.791939097852022	1	3110035E14Rik	0.791939097852022	chr1	9601199	9627143	+	25944
52.3504175901035	-0.828023321613056	0.565089352099741	-1.46529627312267	0.142840102894291	1	Mybl1	0.142840102894291	chr1	9667415	9700209	-	32794
1175.04714319669	-0.111002723226003	0.159579148917246	-0.695596661463374	0.486681457542201	1	Vcpip1	0.486681457542201	chr1	9718622	9748382	-	29760
4.34000851583644	-0.846723960852061	1.47683342823876	-0.573337483200014	0.566416210666717	1	1700034P13Rik	0.566416210666717	chr1	9747648	9791922	+	44274
